Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
CBSNews,Tue Aug 28 15:39:49 +0000 2018,"""It's 2,975 people who suffered, who went through difficult times. And as government officials, we understand what… https://t.co/6LYFMTPMJK",0.0,0.737,0.263,-0.6908,42
CBSNews,Tue Aug 28 15:37:43 +0000 2018,"""We always knew that based on the level of the catastrophe that Puerto Rico suffered that there were going to be --… https://t.co/iW7ApVY4xX",0.0,0.734,0.266,-0.8225,43
CBSNews,Tue Aug 28 15:28:16 +0000 2018,"BREAKING: New study estimates Hurricane Maria caused 2,975 deaths in Puerto Rico -- a drastically higher number tha… https://t.co/W6p7pxFiSe",0.071,0.929,0.0,0.0772,44
CBSNews,Tue Aug 28 14:56:22 +0000 2018,Pfizer is recalling some children's Advil because instructions on its label don't match the product's measuring cup… https://t.co/6EBey2FarT,0.0,1.0,0.0,0.0,45
CBSNews,Tue Aug 28 14:37:21 +0000 2018,"Sen. Lindsey Graham on replacing Jeff Sessions: ""The relationship is not working"" https://t.co/IUHFNql7AP https://t.co/seDKkqOoQN",0.0,1.0,0.0,0.0,46
CBSNews,Tue Aug 28 14:20:58 +0000 2018,"Hard numbers:
- Mexican prosecutors opened 2,599 homicide investigations in July
- Since 2000, annual defense spend… https://t.co/OB2uLsTJ0t",0.089,0.828,0.083,0.0258,47
CBSNews,Tue Aug 28 14:18:04 +0000 2018,More NAFTA negotiations are underway. President Trump announced a revised trade deal with Mexico in the Oval Office… https://t.co/ToD7w3fgh6,0.0,1.0,0.0,0.0,48
CBSNews,Tue Aug 28 14:14:56 +0000 2018,"""He was my idol, my hero"": John McCain's younger brother, Joe, is remembering the ""maverick"" of the Senate.… https://t.co/Xh5MUQhZqj",0.0,1.0,0.0,0.0,49
CBSNews,Tue Aug 28 13:59:32 +0000 2018,"Former President Jimmy Carter: President Trump is ""very careless with the truth"" https://t.co/nXmFThqETk https://t.co/dhsidRxRgk",0.135,0.702,0.163,-0.1263,50
CBSNews,Tue Aug 28 13:44:41 +0000 2018,Bipartisan support is building for a plan to rename the Russell Senate Office building for John McCain:… https://t.co/aFfnpAohHt,0.144,0.856,0.0,0.4019,51
CBSNews,Tue Aug 28 13:30:00 +0000 2018,"U.S. rejects court challenge, insists Iran sanctions legal and needed https://t.co/PFu6ToYx8S https://t.co/eUfwxcEnan",0.187,0.6,0.213,-0.34,52
CBSNews,Tue Aug 28 13:15:00 +0000 2018,"John McCain's brother remembers him as ""my hero"": ""He was just always there. I thought he was going to live forever… https://t.co/kW9AzuD9Om",0.0,1.0,0.0,0.0,53
CBSNews,Tue Aug 28 12:59:42 +0000 2018,"President Trump says news on Google is ""rigged"" against him: https://t.co/S04S5NVVra https://t.co/WjVxDSQgu5",0.0,1.0,0.0,0.0,54
CBSNews,Tue Aug 28 12:39:55 +0000 2018,"RT @CBSThisMorning: .@JoshShapiroPA says as of last night, 733 calls have been made to the clergy abuse hotline since his office released t…",0.0,0.84,0.16,-0.6369,55
CBSNews,Tue Aug 28 12:39:42 +0000 2018,"RT @CBSThisMorning: ""There are specific examples where when the abuse occurred, the priests would go, the bishops would go and lie to paris…",0.0,0.84,0.16,-0.6369,56
CBSNews,Tue Aug 28 12:39:40 +0000 2018,Inspector general report: President Trump involved in FBI headquarters decision https://t.co/cQGNg1OjLc https://t.co/XAH6MSvJtu,0.0,1.0,0.0,0.0,57
CBSNews,Tue Aug 28 12:39:38 +0000 2018,RT @CBSThisMorning: A law under consideration in Pennsylvania could give victims of child sexual abuse a second chance at justice. A ground…,0.201,0.558,0.242,-0.2732,58
CBSNews,Tue Aug 28 12:19:48 +0000 2018,Did the most-popular e-cigarette company market to high school students? Advocates say teens and parents are being… https://t.co/1trRMjyoeX,0.0,1.0,0.0,0.0,59
CBSNews,Tue Aug 28 11:59:31 +0000 2018,Authorities in Pennsylvania have re-opened an investigation into a decades-old case in which sexual abuse claims we… https://t.co/SGSrgeiE27,0.0,0.792,0.208,-0.6369,60
CBSNews,Tue Aug 28 11:40:08 +0000 2018,"John Goodman predicts his character will be ""mopey and sad"" in ""Roseanne"" spinoff because his wife has died… https://t.co/pcfUVMl5NG",0.0,0.853,0.147,-0.4767,61
CBSNews,Tue Aug 28 11:20:09 +0000 2018,Federal judge blocks posting of online plans for 3D printed guns https://t.co/eHaQbGIzKW https://t.co/1wPURKBY6M,0.0,0.863,0.137,-0.2263,62
CBSNews,Tue Aug 28 10:59:43 +0000 2018,One of those mourning the death of Sen. John McCain is a man who spent time in a Prisoner of War camp with him duri… https://t.co/6lYYyhlXBB,0.0,0.585,0.415,-0.9349,63
CBSNews,Tue Aug 28 10:52:50 +0000 2018,RT @CBSThisMorning: Here's what we're working on this morning: https://t.co/eXXvv2M1Z0,0.0,1.0,0.0,0.0,64
CBSNews,Tue Aug 28 10:49:33 +0000 2018,The Pennsylvania attorney general who led the investigation of alleged Catholic church abuse is in @CBSThisMorning'… https://t.co/gGw9evyJwt,0.0,0.792,0.208,-0.6369,65
CBSNews,Tue Aug 28 10:44:33 +0000 2018,COMING UP on @CBSThisMorning: A look at the new effort to try and stop teens from vaping. How advocates say popular… https://t.co/xveeUS1dgf,0.0,0.901,0.099,-0.296,66
CBSNews,Tue Aug 28 10:40:30 +0000 2018,"As election season heats up in Florida paradise, there is more than one red vs. blue battle being waged on the stat… https://t.co/4R3KgNsbZD",0.151,0.755,0.094,0.3818,67
CBSNews,Tue Aug 28 10:34:54 +0000 2018,AHEAD on @CBSThisMorning: Former President Jimmy Carter remembers Sen. John McCain. Learn what he believes his pass… https://t.co/7I0jLJjOIr,0.0,1.0,0.0,0.0,68
CBSNews,Tue Aug 28 10:22:34 +0000 2018,New U.S.-Mexico trade agreement is hardly a done deal https://t.co/j54AU4CYH7 https://t.co/RlgYzsNUX9,0.262,0.738,0.0,0.4939,69
CBSNews,Tue Aug 28 10:03:04 +0000 2018,Alexei Navalny jailed in Russia over anti-Vladimir Putin protest https://t.co/9RBAekamOP https://t.co/zdFV6tzAXv,0.0,0.634,0.366,-0.6369,70
CBSNews,Tue Aug 28 09:54:06 +0000 2018,Fellow POW with McCain tells of their enduring friendship https://t.co/z6Kg3tsteU https://t.co/WC2o7ewnEL,0.225,0.775,0.0,0.4404,71
CBSNews,Tue Aug 28 09:48:03 +0000 2018,Fan charged after rushing stage at Beyoncé and Jay-Z concert in Atlanta https://t.co/aeywzHAlmJ https://t.co/UFpR7o6JH8,0.143,0.745,0.112,0.128,72
CBSNews,Tue Aug 28 09:33:03 +0000 2018,Tesla declines as Wall Street questions Musk's about-face https://t.co/kZ1rwbo9UZ https://t.co/iLItvRokhm,0.0,1.0,0.0,0.0,73
CBSNews,Tue Aug 28 09:18:05 +0000 2018,Tom Brady hangs up during radio interview https://t.co/CLrUUw5e0v https://t.co/mM5GtVL4UR,0.0,1.0,0.0,0.0,74
CBSNews,Tue Aug 28 09:08:05 +0000 2018,Federal judges again rule GOP-drawn N.C. congressional districts unconstitutional https://t.co/vX1O1uITGV https://t.co/gbiBUInRYp,0.0,1.0,0.0,0.0,75
CBSNews,Tue Aug 28 09:03:03 +0000 2018,"Working with John McCain the ""greatest, wildest adventure,"" says longtime aide Rick Davis https://t.co/JCOBoYBOKT https://t.co/qhCOVBzble",0.0,1.0,0.0,0.0,76
CBSNews,Tue Aug 28 08:48:03 +0000 2018,"Aspirin disappoints for avoiding first heart attack, stroke https://t.co/RWfy413OmQ https://t.co/eOOLF7TbNC",0.0,0.464,0.536,-0.7964,77
CBSNews,Tue Aug 28 08:33:03 +0000 2018,Arizona primaries to take place days after McCain's death - what to watch in politics this week… https://t.co/NkF2kttZs8,0.0,0.804,0.196,-0.5994,78
CBSNews,Tue Aug 28 08:24:05 +0000 2018,"Roseanne character will be dead in spinoff, John Goodman predicts https://t.co/KI4y8u9KzY https://t.co/ikQpEq3J4k",0.0,0.719,0.281,-0.6486,79
CBSNews,Tue Aug 28 08:18:03 +0000 2018,Ivanka Trump faces social media blowback for tweet on Jacksonville shooting https://t.co/jfIkQrBNYg https://t.co/NGeJQjbZAn,0.0,1.0,0.0,0.0,80
CBSNews,Tue Aug 28 08:03:04 +0000 2018,YouTuber 'McSkillet' kills two in car crash https://t.co/W6L3vJRRqw https://t.co/7wzrZxlHci,0.0,0.53,0.47,-0.7351,81
CBSNews,Tue Aug 28 07:54:06 +0000 2018,Judge blocks posting of online plans for 3D printed guns https://t.co/PPWjT1qb5z https://t.co/XkhVupfRPc,0.0,0.853,0.147,-0.2263,82
CBSNews,Tue Aug 28 07:48:05 +0000 2018,9-year-old Denver boy dies by suicide after being bullied at school https://t.co/Nb7jn8DCJC https://t.co/FxYtl7e1kj,0.0,0.561,0.439,-0.8625,83
CBSNews,Tue Aug 28 07:33:03 +0000 2018,Facebook bans Myanmar military chief over spread of hate speech https://t.co/M8beKkDE7o https://t.co/LBSSwpCRzU,0.0,0.748,0.252,-0.5719,84
CBSNews,Tue Aug 28 07:18:04 +0000 2018,"Jimmy Carter hails John McCain's ""commitment to the truth"" https://t.co/vOFUCVHDC1 https://t.co/rzgLGcsIGP",0.353,0.647,0.0,0.5994,85
CBSNews,Tue Aug 28 07:03:04 +0000 2018,Like to smell nice? Prepare to pay more -- if you're a woman https://t.co/qQYWvcNxev https://t.co/awXq3GzK3c,0.299,0.621,0.079,0.5994,86
CBSNews,Tue Aug 28 06:48:04 +0000 2018,"Warnings raised about leading cause of kids' accidental deaths: ""You can't drown-proof a child""… https://t.co/u3pCWPq4bM",0.0,0.774,0.226,-0.3612,87
CBSNews,Tue Aug 28 06:33:04 +0000 2018,"Sacha Baron Cohen takes aim at O.J. Simpson on season finale of ""Who is America?"" https://t.co/AQyne64wgt https://t.co/4wzDz7fXdZ",0.0,1.0,0.0,0.0,88
CBSNews,Tue Aug 28 06:18:04 +0000 2018,Kelli Ward apologizes after comment that McCain family timed announcement to hurt campaign https://t.co/ZviB8gLWY6 https://t.co/UuENZ3i0Qr,0.132,0.688,0.18,-0.2263,89
CBSNews,Tue Aug 28 06:03:04 +0000 2018,Toyota invests $500 million in Uber https://t.co/FAkHzpmwGN https://t.co/PvPD6omhTB,0.0,1.0,0.0,0.0,90
CBSNews,Tue Aug 28 05:48:04 +0000 2018,Vietnamese pay tribute to John McCain https://t.co/CO6UNhqPpI https://t.co/58UFzqGPA8,0.0,0.833,0.167,-0.1027,91
CBSNews,Tue Aug 28 05:33:03 +0000 2018,Who will Gov. Doug Ducey name to fill John McCain's vacant seat? https://t.co/ioSXY6yhxf https://t.co/DcxwRfbn13,0.0,1.0,0.0,0.0,92
CBSNews,Tue Aug 28 05:18:03 +0000 2018,"Archbishop's claims against Pope Francis ""like an earthquake for the church"" https://t.co/FU0u7maA5K https://t.co/kM3SW6fwJe",0.172,0.828,0.0,0.3612,93
CBSNews,Tue Aug 28 05:03:04 +0000 2018,"Commentary: Democrats are getting ready for impeachment, even if they say they're not https://t.co/gZ9V28rVrw https://t.co/ZABN180fV0",0.152,0.848,0.0,0.3612,94
CBSNews,Tue Aug 28 04:48:03 +0000 2018,"Cargill beef recall: 25,000 pounds may be tainted with E. coli https://t.co/RzVchY33NC https://t.co/JFseruxvLs",0.0,1.0,0.0,0.0,95
CBSNews,Tue Aug 28 04:33:04 +0000 2018,"""Goldbergs"" actor Jackson Odell's cause of death revealed https://t.co/vwXteIKFEo https://t.co/GZsphb4uV8",0.0,0.698,0.302,-0.5994,96
CBSNews,Tue Aug 28 04:24:04 +0000 2018,Lane second to only to Harvey for amount of storm rainfall https://t.co/YSqJ7AxVOW https://t.co/c3ba3rT9l9,0.0,1.0,0.0,0.0,97
CBSNews,Tue Aug 28 04:18:03 +0000 2018,Tom Brady hangs up during radio interview https://t.co/L5YCVu6AUQ https://t.co/hqfd4JFTgV,0.0,1.0,0.0,0.0,98
CBSNews,Tue Aug 28 04:17:07 +0000 2018,"“Removing the stigma is part of changing the conversation,” says Olympic skier Bode Miller of talking to and suppor… https://t.co/XXyhLpJRTW",0.0,1.0,0.0,0.0,99
CBSNews,Tue Aug 28 04:03:04 +0000 2018,"Bob Schieffer: Trump's reaction to McCain's death made ""a mockery of one of our most solemn tributes""… https://t.co/mcruBwsG85",0.0,0.658,0.342,-0.7778,100
CNN,Tue Aug 28 23:41:01 +0000 2018,"Air pollution could be more damaging to our health than previously thought, according to a new study, which found t… https://t.co/tYL8nukK4A",0.0,0.841,0.159,-0.5563,1
CNN,Tue Aug 28 23:31:05 +0000 2018,"Supreme Court nominee Brett Kavanaugh will be introduced by Republican Sen. Rob Portman of Ohio, former Secretary o… https://t.co/uOTbCpMwru",0.149,0.702,0.149,0.0,2
CNN,Tue Aug 28 23:27:07 +0000 2018,"RT @OutFrontCNN: ""One of the lessons I've learned the most from him was the absolutely essential nature of American leadership around the w…",0.0,1.0,0.0,0.0,3
CNN,Tue Aug 28 23:21:13 +0000 2018,Arizona polls to close on time after Election Day snafu https://t.co/1uWpz1e8qk https://t.co/X40iSR1yQI,0.0,0.759,0.241,-0.5423,4
CNN,Tue Aug 28 23:21:05 +0000 2018,"Nearly 2.3 million cases of chlamydia, gonorrhea and syphilis were diagnosed in the United States in 2017, accordin… https://t.co/maxaNUMjFK",0.135,0.865,0.0,0.4215,5
CNN,Tue Aug 28 23:18:11 +0000 2018,Uber is pivoting to e-bikes and scooters for short rides as its business model changes https://t.co/dNd7pCDFJj https://t.co/15LLZcTKrf,0.0,1.0,0.0,0.0,6
CNN,Tue Aug 28 23:16:23 +0000 2018,"Usually, politics and slime go hand-in-hand. ""Sliming"" a political opponent is well-worn tradition, after all.

But… https://t.co/G3Gwd9uP5W",0.0,1.0,0.0,0.0,7
CNN,Tue Aug 28 23:13:53 +0000 2018,"RT @OutFrontCNN: ""This is a President that seems like he is lashing out at anyone and I think it's because the walls are closing in,"" says…",0.098,0.902,0.0,0.3612,8
CNN,Tue Aug 28 23:11:03 +0000 2018,Senate Majority Leader Mitch McConnell cut a deal with Democratic leaders in the upper chamber to clear a slate of… https://t.co/Zn2gj4cf3g,0.12,0.783,0.097,0.128,9
CNN,Tue Aug 28 23:07:20 +0000 2018,"RT @OutFrontCNN: It's election day in Arizona, Florida, and Oklahoma. Follow for live updates. https://t.co/GxZ8IRdS3v https://t.co/J1Iz5Nt…",0.0,1.0,0.0,0.0,10
CNN,Tue Aug 28 23:01:04 +0000 2018,Mike Pence's plan to outlast Trump | By Michael D'Antonio and Peter Eisner via @CNNOpinion https://t.co/nFaFZcR7Hv https://t.co/2mRdKYTCX3,0.0,1.0,0.0,0.0,11
CNN,Tue Aug 28 23:01:00 +0000 2018,Researchers used a manned submersible to bring back the first images of a deep-sea coral reef off the coast of Sout… https://t.co/cb4QFVHJAR,0.0,1.0,0.0,0.0,12
CNN,Tue Aug 28 22:52:07 +0000 2018,Sofia Sanchez had two wishes for her 11th birthday. The first came true earlier this month when Drake surprised her… https://t.co/UPLxJCXx5r,0.259,0.741,0.0,0.6486,13
CNN,Tue Aug 28 22:45:00 +0000 2018,GoPro CEO Nick Woodman says the company hasn't been hit by President Trump's tariffs against China yet -- but they… https://t.co/XRwSYMsDU0,0.0,1.0,0.0,0.0,14
CNN,Tue Aug 28 22:43:21 +0000 2018,A former police officer in the Dallas suburb of Balch Springs was found guilty of murder in the shooting of Jordan… https://t.co/L0TkbxwxUm,0.0,0.717,0.283,-0.8176,15
CNN,Tue Aug 28 22:38:34 +0000 2018,"RT @CNNSitRoom: ""This President has to be willing to accept the will of the American people when it comes to an election, and stop threaten…",0.094,0.827,0.079,0.1027,16
CNN,Tue Aug 28 22:35:13 +0000 2018,The owner of a company that builds 3D-printed guns said he has begun selling blueprints of the weapons to elude a c… https://t.co/i8RlYoOzEA,0.0,0.873,0.127,-0.4404,17
CNN,Tue Aug 28 22:30:48 +0000 2018,RT @CNNSitRoom: Democratic Senator Blumenthal says he’s talked to a number of Republican colleagues and thinks ”there would be holy hell to…,0.052,0.763,0.185,-0.6486,18
CNN,Tue Aug 28 22:30:00 +0000 2018,"Meet the Arab superhero fighting crime and smashing stereotypes. Emara doesn't wear spandex, skintight leather or m… https://t.co/T2BkzI0arL",0.0,0.727,0.273,-0.7184,19
CNN,Tue Aug 28 22:28:51 +0000 2018,"Veteran David Carrasco gave his own Vietnam War medallion to the late Sen. John McCain's wife, Cindy McCain, outsid… https://t.co/CwUpC3f6gA",0.0,0.83,0.17,-0.5994,20
CNN,Tue Aug 28 22:25:07 +0000 2018,"Illinois authorities are investigating allegations of neglect after a fire in Chicago killed 10 children, officials… https://t.co/7cQ4IhdTOK",0.0,0.568,0.432,-0.872,21
CNN,Tue Aug 28 22:20:05 +0000 2018,"Facing scrutiny for hush money payments to a porn star and a former Playboy model, Trump pleaded with evangelical l… https://t.co/wqs33Je3GO",0.0,1.0,0.0,0.0,22
CNN,Tue Aug 28 22:15:15 +0000 2018,Senate Republicans are sending decidedly mixed messages about how they feel about the future of Attorney General Je… https://t.co/aZufhL6bgH,0.0,1.0,0.0,0.0,23
CNN,Tue Aug 28 22:11:48 +0000 2018,"It's election day in Arizona, Florida, and Oklahoma. Follow for live updates. https://t.co/ufORF8aN3n https://t.co/2La3w5ES7x",0.0,1.0,0.0,0.0,24
CNN,Tue Aug 28 21:50:07 +0000 2018,HBO has quietly dropped erotic late-night programming from its lineup https://t.co/h5A8TbI0d0 https://t.co/xAo7NNNSbL,0.0,1.0,0.0,0.0,25
CNN,Tue Aug 28 21:40:10 +0000 2018,JPMorgan just made another high-profile artificial intelligence hire https://t.co/QxeypaK99l https://t.co/Fi7Mj3hzSp,0.256,0.744,0.0,0.4767,26
CNN,Tue Aug 28 21:35:00 +0000 2018,"Without evidence, Trump reiterated claims about Google's search results, saying the company is ""taking advantage of… https://t.co/4TAekVTE8w",0.111,0.889,0.0,0.25,27
CNN,Tue Aug 28 21:30:09 +0000 2018,Bubble gum-flavored children's Advil is being recalled after customer complaints identified that the dosage cup pro… https://t.co/GzQkiLagWL,0.0,0.856,0.144,-0.4019,28
CNN,Tue Aug 28 21:29:22 +0000 2018,"Canada looks to join the US-Mexico trade talks, but Prime Minister Justin Trudeau says he will only sign a new deal… https://t.co/f7KWE2EP5i",0.074,0.926,0.0,0.1531,29
CNN,Tue Aug 28 21:25:05 +0000 2018,"A day out from their big-ticket debate, a leaked email has brought up the temperature in the race between New York… https://t.co/tOBU6p437p",0.0,0.892,0.108,-0.3182,30
CNN,Tue Aug 28 21:20:09 +0000 2018,John McCain's goodbye is in classic tradition of George Washington's Farewell Address | By John Avlon via… https://t.co/N20oEjUFqJ,0.0,1.0,0.0,0.0,31
CNN,Tue Aug 28 21:15:03 +0000 2018,"UN Secretary General addresses the body's Security Council regarding the Rohingya refugee crisis, calling for the M… https://t.co/jmZ6SzmjCy",0.107,0.711,0.182,-0.4019,32
CNN,Tue Aug 28 21:10:07 +0000 2018,"A 9-year-old ended his own life on Thursday, shortly after coming out as gay and being bullied at school, according… https://t.co/6CA5J2nxad",0.0,0.823,0.177,-0.6249,33
CNN,Tue Aug 28 21:00:14 +0000 2018,Elon Musk is lashing out on Twitter again https://t.co/FsmJvIngcP https://t.co/N1eC508CRK,0.0,1.0,0.0,0.0,34
CNN,Tue Aug 28 20:55:04 +0000 2018,The top elections official in Arizona's most populous county said he will petition to extend voting hours in the pr… https://t.co/RhO0mV4Sv0,0.156,0.844,0.0,0.3612,35
CNN,Tue Aug 28 20:50:04 +0000 2018,Country music stars were tweeting bright and early after the nominations for the 2018 CMA Awards were announced… https://t.co/AvD492IvHc,0.258,0.742,0.0,0.7096,36
CNN,Tue Aug 28 20:40:04 +0000 2018,"GOP Sen. Lindsey Graham this week argued that President Trump deserves to replace Attorney General Jeff Sessions, s… https://t.co/5gQAie2tx0",0.0,0.878,0.122,-0.3612,37
CNN,Tue Aug 28 20:38:51 +0000 2018,"RT @TheLeadCNN: “Lindsey Graham, in a very unfortunate way in my opinion, has decided to carry water for Trump – for whatever reason, he th…",0.0,0.87,0.13,-0.5095,38
CNN,Tue Aug 28 20:30:07 +0000 2018,"Whole Foods doesn't look much different since Amazon bought it a year ago, but incumbents like Walmart, Kroger, Cos… https://t.co/ElGGwqwBjL",0.213,0.787,0.0,0.5574,39
CNN,Tue Aug 28 20:25:00 +0000 2018,"This is how Ruth Bader Ginsburg, the oldest sitting Supreme Court Justice, stays in shape. She attributes her long… https://t.co/E3sd6jOm1p",0.28,0.72,0.0,0.7906,40
CNN,Tue Aug 28 20:20:44 +0000 2018,RT @CNNMoney: S&amp;P 500 gains a fraction of a point. Nasdaq gains 0.2%. Dow finishes up 14 points. https://t.co/E9IkqtvczQ,0.242,0.758,0.0,0.5859,41
CNN,Tue Aug 28 20:20:04 +0000 2018,"A dozen prisoners have died in the custody of Mississippi authorities this month and, with the exception of two dea… https://t.co/JuBp9bt2qu",0.0,0.723,0.277,-0.7845,42
CNN,Tue Aug 28 20:16:54 +0000 2018,"Without evidence, Trump reiterated claims about Google's search results, saying the company is ""taking advantage of… https://t.co/leGoaC1RUF",0.111,0.889,0.0,0.25,43
CNN,Tue Aug 28 20:10:10 +0000 2018,"The US Food and Drug Administration has again expanded the list of recalled medications that contain valsartan, use… https://t.co/pFICM2zkWz",0.0,1.0,0.0,0.0,44
CNN,Tue Aug 28 20:05:03 +0000 2018,"Sen. Lindsey Graham took to the Senate floor to give an emotional farewell to his friend and colleague, Sen. John M… https://t.co/SgOTTnb1UX",0.194,0.806,0.0,0.5859,45
CNN,Tue Aug 28 20:00:12 +0000 2018,"The newspaper industry has been fighting tariffs on Canadian paper for months, claiming that they will devastate an… https://t.co/csHvCRvt4f",0.0,0.72,0.28,-0.765,46
CNN,Tue Aug 28 19:40:09 +0000 2018,A federal court's rejection of North Carolina's GOP-rigged congressional district map has thrown in doubt 13 voting… https://t.co/3o7QCOfp2V,0.0,0.714,0.286,-0.7184,47
CNN,Tue Aug 28 19:30:07 +0000 2018,The police officer who fatally shot an unarmed black man in Tulsa now teaches a course on how other cops can 'survi… https://t.co/JU9By8rEsE,0.0,0.833,0.167,-0.6369,48
CNN,Tue Aug 28 19:20:07 +0000 2018,Slowed new construction and a short supply of existing homes for sale have pushed housing prices so high that buyer… https://t.co/bWZHWaDkSK,0.0,1.0,0.0,0.0,49
CNN,Tue Aug 28 19:11:18 +0000 2018,"""John taught us how to lose. ... He failed a lot but he never quit."" Sen. Lindsey Graham pays emotional tribute to… https://t.co/oSobdv1y8M",0.076,0.763,0.161,-0.2732,50
CNN,Tue Aug 28 19:10:38 +0000 2018,"RT @CNNPolitics: ""I learned that serving a cause greater than yourself hurts,"" a tearful Sen. Lindsey Graham says. ""He couldn't put his jac…",0.111,0.889,0.0,0.3612,51
CNN,Tue Aug 28 19:10:05 +0000 2018,Don't be fooled: Democrats' rule changes on superdelegates don't change much of anything | Analysis by @CillizzaCNN… https://t.co/vMEzaYhANG,0.12,0.88,0.0,0.2924,52
CNN,Tue Aug 28 19:01:02 +0000 2018,"RT @CNNPolitics: ""Love: Not a word often associated with Senator McCain. But it should be. Because if you were loved by him, you knew it,""…",0.189,0.811,0.0,0.7469,53
CNN,Tue Aug 28 19:00:27 +0000 2018,"""I do not cry for a perfect man. I cry for a man who had honor and always was willing to admit to his imperfection,… https://t.co/Bacv1Xv9oo",0.325,0.579,0.096,0.7278,54
CNN,Tue Aug 28 19:00:09 +0000 2018,"The Vatican knew of a cover-up involving abusive priests, Pennsylvania attorney general says https://t.co/ukYaN3LeVo https://t.co/U7oUvxyJdk",0.0,0.652,0.348,-0.7506,55
CNN,Tue Aug 28 18:50:26 +0000 2018,"RT @CNNPolitics: Sen. Lindsey Graham jokes about his tie during his Senate floor tribute to his friend John McCain: ""This is a Naval Academ…",0.198,0.802,0.0,0.6369,56
CNN,Tue Aug 28 18:50:06 +0000 2018,The owner of a company that builds 3D-printed guns said he has begun selling blueprints of the weapons to elude a c… https://t.co/MuF0SKhQ7K,0.0,0.873,0.127,-0.4404,57
CNN,Tue Aug 28 18:40:10 +0000 2018,Teacher strikes cancel the first day of school in two Washington state districts -- and more strikes could follow i… https://t.co/VxaRkN2Wyn,0.0,0.72,0.28,-0.7184,58
CNN,Tue Aug 28 18:30:12 +0000 2018,"Instagram has announced three new features related to safety on the platform, including providing more details abou… https://t.co/WjOMhtAS6G",0.141,0.859,0.0,0.4215,59
CNN,Tue Aug 28 18:24:36 +0000 2018,"Sen. Lindsey Graham honors John McCain with a speech from the Senate floor. https://t.co/UYpqI3w42L

Watch on Faceb… https://t.co/palVYXvRTy",0.171,0.829,0.0,0.5106,60
CNN,Tue Aug 28 18:20:04 +0000 2018,The government is starting to pay farmers that have been hurt by the fallout of President Trump's widening trade fe… https://t.co/HFAljLOash,0.0,0.798,0.202,-0.5859,61
CNN,Tue Aug 28 18:10:07 +0000 2018,"Nearly 2.3 million cases of chlamydia, gonorrhea and syphilis were diagnosed in the United States in 2017, accordin… https://t.co/NIVj5Dt0uc",0.135,0.865,0.0,0.4215,62
CNN,Tue Aug 28 18:00:02 +0000 2018,"President Trump has renewed his claims of bias against conservatives on the internet, accusing Google of rigging it… https://t.co/2ALJIINaV7",0.0,0.846,0.154,-0.2732,63
CNN,Tue Aug 28 17:50:07 +0000 2018,Students are learning and experimenting inside Google's virtual labs https://t.co/67I3wkr9GM https://t.co/Q7q0zgWr4C,0.0,1.0,0.0,0.0,64
CNN,Tue Aug 28 17:40:05 +0000 2018,EA Sports is canceling three remaining Madden Classic qualifier events to review safety protocols after a deadly sh… https://t.co/6vUGIOg6WH,0.141,0.859,0.0,0.4215,65
CNN,Tue Aug 28 17:30:05 +0000 2018,A mother was shoved into the path of an oncoming train. Her daughter jumped onto tracks to save her.… https://t.co/9GIoXUKbZk,0.151,0.849,0.0,0.4939,66
CNN,Tue Aug 28 17:20:05 +0000 2018,10 John McCain quotes about defeat and determination https://t.co/J7jt6FgnYu https://t.co/Si6WxtlNmn,0.197,0.584,0.219,-0.0772,67
CNN,Tue Aug 28 17:10:09 +0000 2018,Kenya has introduced a new anti-poaching technique involving specially-trained sniffer dogs to crack down on illega… https://t.co/iZ9oMbfnhM,0.0,1.0,0.0,0.0,68
CNN,Tue Aug 28 17:00:07 +0000 2018,The shooter who killed two people and wounded 10 others before taking his own life at an e-sports tournament in Jac… https://t.co/MLByifWnOy,0.0,0.824,0.176,-0.6705,69
CNN,Tue Aug 28 16:50:09 +0000 2018,"French President Emmanuel Macron says Europe can ""no longer rely"" on the US for security https://t.co/J7VSsdDhyQ https://t.co/JBaeYyKDVz",0.122,0.765,0.112,0.0516,70
CNN,Tue Aug 28 16:41:05 +0000 2018,Sofia Sanchez had two wishes for her 11th birthday. The first came true earlier this month when Drake surprised her… https://t.co/q5H51xv17h,0.259,0.741,0.0,0.6486,71
CNN,Tue Aug 28 16:30:08 +0000 2018,"Hurricane Maria caused an estimated 2,975 deaths in Puerto Rico, a new report shows. Researchers calculated excess… https://t.co/wt9DcZDqYZ",0.0,1.0,0.0,0.0,72
CNN,Tue Aug 28 16:20:00 +0000 2018,Researchers used a manned submersible to bring back the first images of a deep-sea coral reef off the coast of Sout… https://t.co/FtwSF8MOQZ,0.0,1.0,0.0,0.0,73
CNN,Tue Aug 28 16:10:06 +0000 2018,The stories behind 5 of Aretha Franklin's biggest songs https://t.co/gaZyd1ontY https://t.co/Z7RxRaX1sC,0.0,1.0,0.0,0.0,74
CNN,Tue Aug 28 16:00:09 +0000 2018,A man was being held by French police Tuesday over an attack last month on a woman in the center of Paris that was… https://t.co/u7NzKcOslY,0.0,0.876,0.124,-0.4767,75
CNN,Tue Aug 28 15:50:07 +0000 2018,The preliminary US-Mexico trade deal marks the beginning of what could be a stronger and more modern NAFTA -- as we… https://t.co/PfAeGjPQDu,0.115,0.885,0.0,0.3818,76
