Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Tue Aug 28 02:57:34 +0000 2018,Malcolm Turnbull: Australian ex-PM 'to quit parliament' https://t.co/cMY1GALOmH,0.0,1.0,0.0,0.0,33
BBCWorld,Mon Aug 27 23:46:40 +0000 2018,Left behind: How Venezuela crisis is tearing families apart https://t.co/WAYjqIeRtk,0.0,0.687,0.313,-0.6249,34
BBCWorld,Mon Aug 27 23:41:13 +0000 2018,May's mission to woo Africa after Brexit https://t.co/X05V7mWFGT,0.307,0.693,0.0,0.4767,35
BBCWorld,Mon Aug 27 23:38:15 +0000 2018,Children 'ready to flee’ violence at Greek refugee camp https://t.co/x6Z07im3Yi,0.171,0.548,0.281,-0.3818,36
BBCWorld,Mon Aug 27 21:45:35 +0000 2018,Student loan watchdog: US 'turned its back' on students https://t.co/C80uyX33XJ,0.0,1.0,0.0,0.0,37
BBCWorld,Mon Aug 27 21:42:29 +0000 2018,Vanesa Campos: Five charged with murdering Paris transgender prostitute https://t.co/p2MxeaEgZI,0.0,0.567,0.433,-0.7269,38
BBCWorld,Mon Aug 27 19:05:06 +0000 2018,Germany migrants: Protesters face off in Chemnitz https://t.co/1mxXiC1LT4,0.0,0.787,0.213,-0.2263,39
BBCWorld,Mon Aug 27 18:38:51 +0000 2018,John McCain: The angry politics of late senator's death https://t.co/6Pxcc8ioDK,0.0,0.526,0.474,-0.802,40
BBCWorld,Mon Aug 27 18:02:25 +0000 2018,Pope Francis' Skoda donated to homeless charity https://t.co/w8i9Wovd8U,0.286,0.714,0.0,0.4215,41
BBCWorld,Mon Aug 27 17:26:13 +0000 2018,"US boy, 9, killed himself after homophobic bullying, mum says https://t.co/XA45wmoFPb",0.0,0.517,0.483,-0.8555,42
BBCWorld,Mon Aug 27 16:51:45 +0000 2018,Myanmar Rohingya: What will happen next after damning UN report? https://t.co/6vPlFNWw5b,0.0,0.806,0.194,-0.34,43
BBCWorld,Mon Aug 27 16:48:51 +0000 2018,Tuam babies: Church must address 'shameful chapter' https://t.co/J9kKJfIyoO,0.0,0.686,0.314,-0.4939,44
BBCWorld,Mon Aug 27 16:32:04 +0000 2018,"RT @bbctennis: Kaia Kanepi has done it! 

A shock result as world number 1 Simona Halep crashes out at the first hurdle 6-2 6-4. 

Live: ht…",0.05,0.84,0.11,-0.3802,45
BBCWorld,Mon Aug 27 16:19:07 +0000 2018,Saad Lamjarred: Moroccan singer faces third rape charge https://t.co/tibNiF1jvD,0.0,0.63,0.37,-0.6908,46
BBCWorld,Mon Aug 27 16:07:47 +0000 2018,"Just when you thought it was safe to go back in the water... 🐬

https://t.co/nBkeOkDi2a",0.172,0.828,0.0,0.4404,47
BBCWorld,Mon Aug 27 15:58:09 +0000 2018,Jos Brech was identified as a suspect after the Netherlands' biggest ever DNA harvesting operation https://t.co/sR3zf8cPh0,0.0,0.864,0.136,-0.296,48
BBCWorld,Mon Aug 27 15:50:03 +0000 2018,John McCain: White House urged to lower flags for senator https://t.co/xzsNZO6awn,0.0,0.82,0.18,-0.296,49
BBCWorld,Mon Aug 27 15:42:18 +0000 2018,RT @BBCBusiness: US-Mexico reach NAFTA breakthrough https://t.co/4pMLFXJHNh,0.155,0.845,0.0,0.0258,50
BBCWorld,Mon Aug 27 14:23:54 +0000 2018,"RT @BBCSteveR: Russian opposition politician Alexei Navalny has been sentenced to 30 days behind bars: on paper, it’s for a street protest…",0.0,0.948,0.052,-0.0258,51
BBCWorld,Mon Aug 27 13:15:21 +0000 2018,Florida shooting: Gaming community reacts https://t.co/pY4vjZnZBe,0.0,1.0,0.0,0.0,52
BBCWorld,Mon Aug 27 13:07:11 +0000 2018,Uganda's Bobi Wine crisis: Court frees pop star MP https://t.co/rQnCMYa2GF,0.154,0.559,0.287,-0.4404,53
BBCWorld,Mon Aug 27 12:35:37 +0000 2018,Back to the (really) old school https://t.co/ZXjvclk1hX,0.0,1.0,0.0,0.0,54
BBCWorld,Mon Aug 27 12:15:51 +0000 2018,Why are some Iranians running out of hope? https://t.co/NsxYI5IKhe https://t.co/rCFXfS9u6J,0.244,0.756,0.0,0.4404,55
BBCWorld,Mon Aug 27 11:52:52 +0000 2018,"Chale Wote art festival takes over Ghana's capital, Accra https://t.co/EpNO8pijna",0.262,0.738,0.0,0.4939,56
BBCWorld,Mon Aug 27 11:47:14 +0000 2018,People in Morocco shocked over brutal rape allegations https://t.co/aem9OoaZzy,0.0,0.351,0.649,-0.9022,57
BBCWorld,Mon Aug 27 11:45:31 +0000 2018,"More than 50 years on, the Democratic Party's national convention of 1968 continues to haunt the party and cast a s… https://t.co/NVAVoNFbnF",0.111,0.779,0.111,0.0,58
BBCWorld,Mon Aug 27 11:20:24 +0000 2018,Brest frisky dolphin sparks French swimming ban https://t.co/G3pQeVsqeI,0.172,0.517,0.31,-0.3818,59
BBCWorld,Mon Aug 27 11:12:12 +0000 2018,Iran urges UN court to halt US reimposed nuclear sanctions https://t.co/G3Pn1JL4b7,0.0,1.0,0.0,0.0,60
BBCWorld,Mon Aug 27 10:46:01 +0000 2018,Muslim men have been swapping clothes with non-Muslim men as part of a project to fight stereotypes… https://t.co/3Pr4EnSHJ7,0.0,0.86,0.14,-0.3818,61
BBCWorld,Mon Aug 27 10:32:27 +0000 2018,"The UN report is also fiercely critical of Myanmar's de facto leader, Aung San Suu Kyi https://t.co/fiUaGph4ED",0.0,0.874,0.126,-0.3182,62
BBCWorld,Mon Aug 27 10:28:37 +0000 2018,German far-right street mob alarms police in Chemnitz https://t.co/750Z7Nppsd,0.0,0.792,0.208,-0.2732,63
